"Y","X1","X2"
21.9736098123415,4,1
12.3876380397651,3,1
12.665114296189,3,1
16.7533352610669,1,1
22.435229434126,2,1
16.3613652503785,2,1
14.1413958707592,3,1
22.189078831853,5,1
18.2343162906287,5,1
23.433120843548,1,1
14.8979726597765,4,1
21.7693890417436,1,1
11.3544128062421,2,1
21.8721660664967,4,1
16.3449941329472,3,1
18.8614802891835,1,1
21.3239534824966,5,1
17.1216347777701,1,1
21.082028517682,4,1
21.5233905886156,1,1
26.0587838443594,4,1
21.4450941177888,3,1
18.7421792384457,2,1
28.67367944416,2,1
22.3951534036838,4,1
30.4731309851246,3,1
17.8701416349597,2,1
25.908155119255,4,1
15.1048536060801,5,1
16.835110038281,4,1
25.7219725495414,2,1
26.343472468927,2,1
14.1973707313188,3,1
18.0265010846971,5,1
20.8693117333452,3,1
18.4467687774106,4,1
21.9940386610242,2,1
21.0401643009274,2,1
19.3176362620861,3,1
10.729101096348,4,1
21.335024318633,2,1
16.153850361865,3,1
27.2076673115653,1,1
8.44600705217688,1,1
22.9443181407042,5,1
23.1266925249912,2,1
19.8370161616445,3,1
17.2175270041651,2,1
20.8966137576178,3,1
19.9340740403883,4,1
15.2750994310711,4,1
21.2887891806026,2,1
23.4065721553709,5,1
25.2824806759021,2,1
17.2508995473254,4,1
22.336382107715,3,1
22.3756373779639,4,1
16.732340413109,4,1
22.9959860925267,3,1
17.1972381963912,4,1
22.9278402644057,3,1
20.7452663645125,4,1
19.3897726008854,5,1
18.9179353944763,5,1
17.6674476215387,4,1
26.3537572766854,5,1
11.3065779252956,1,1
19.4271250280352,2,1
18.7161048191104,4,1
27.4495300993078,3,1
18.5329244750864,1,1
15.5534227362326,4,1
14.1446263155081,2,1
22.2480744630519,2,1
27.1308951641047,4,1
29.4562922018983,1,1
25.6886899502463,5,1
20.4655938972138,5,1
19.6855386352894,1,1
20.5260651091587,3,1
20.730205820815,2,1
12.951722362304,3,1
12.093963808141,5,1
19.6566876851653,1,1
13.0455473525004,4,1
23.3838104732655,5,1
10.7913694943875,3,1
21.4141817892831,2,1
23.6816555957622,4,1
16.0823953347796,1,1
10.8756396749755,1,1
23.4822274529356,1,1
24.0127831621156,4,1
17.2515266348386,2,1
30.0648782225499,2,1
19.6750845673146,4,1
14.2995874364246,3,1
20.706147240145,5,1
27.3677279323652,5,1
16.9351688867792,3,1
16.4693796575793,2,1
24.3605947905312,1,1
15.3924011944237,1,1
20.8470790858704,4,1
17.0333313136412,4,1
21.2868598544086,3,1
19.6323886999476,4,1
23.4435028959472,5,1
15.9135527024629,3,1
18.5229189719726,4,1
23.49200055631,1,1
12.7919631598372,1,1
14.2467100139535,2,1
11.8019564646414,1,1
21.2882507941572,5,1
17.579032104255,3,1
28.5370792038406,2,1
13.6427681837789,2,1
13.6772653324534,4,1
9.29639919856982,5,1
9.24308397395573,3,1
24.2418489468077,4,1
15.6948811936393,5,1
20.5005666513192,3,1
23.5942301527778,3,1
24.4747942092228,5,1
